device_id,packet_size,packet_rate,connection_duration,protocol_type,source_port,destination_port,failed_login_attempts,traffic_volume,cpu_usage,memory_usage,anomaly_score,botnet_attack
8270,500.0223997561968,45.23976248905209,9.429694629667573,ICMP,36475,53,1,1607.3325939286312,27.397722983072633,84.63493730692046,0.2557470484099287,Normal
1860,638.0729060711683,52.08331282018065,39.61876972279236,UDP,5586,5683,3,3200.0882343104386,50.4990128251652,21.302350771023868,0.40673039814591616,Attack
6390,364.0803495728423,62.703883718190205,28.268143954825586,ICMP,5676,80,3,1670.858508953861,26.4148561498411,53.69237006164462,0.6722597187868979,Normal
6191,591.1014203246314,41.425724126461006,5.589753493561527,TCP,46973,22,1,2790.2413615436403,70.14098942591266,12.012400164788142,0.9970634944596719,Attack
6734,595.0155695364165,69.09136304953074,70.65865770409279,ICMP,22339,53,0,1566.4675325422093,63.03755726776509,25.791487403049125,0.37081839490267576,Normal
7265,594.2974411156171,26.31439833323107,6.718454366339804,TCP,10526,443,2,1422.6607476798677,41.06962538326317,32.482120368296854,0.9488087260395193,Attack
1466,403.19043437486135,43.884094740970724,136.94122120410816,TCP,5737,443,1,1699.7800493771676,70.02995520148441,47.80880568778776,0.36677428215822583,Normal
5426,296.8782061386876,45.3316865373717,1.0,UDP,6437,443,1,1684.4534357922885,13.864667579574387,75.6138125939277,0.695529256684021,Normal
6578,567.1640566893707,52.26736617880412,9.174704197902495,TCP,23008,80,1,1564.6916948505723,72.45755630456895,47.33236004531939,0.16536701732446069,Normal
9322,522.5046541296755,20.42778050015127,6.689068144581713,TCP,62597,53,0,2936.923413388662,59.26173634253322,54.89497596067153,0.46040785858475486,Normal
2685,620.5251961715759,70.29109841991644,1.0,UDP,21511,443,2,1967.4890393865107,61.70745881179742,83.92434885450483,0.8712735186392602,Attack
1769,415.9355806388554,56.21326377426252,39.54426009946795,TCP,3099,53,1,1880.6206601366866,10.819733020023602,70.52259716016488,0.3199943800738092,Normal
7949,591.2142051507633,66.84247168248692,35.46886414985055,UDP,34574,80,3,2015.2270230646375,60.632151055545,14.016271057232368,0.1052025986807329,Normal
3433,626.5294534663294,74.19553606195807,47.15717859157777,TCP,21214,22,1,2548.9484011457916,49.470982144294325,24.117007257724545,0.5227133358625299,Normal
6311,488.56283347407793,38.89154332494414,8.899607752088219,ICMP,33287,22,3,2015.0494686269374,48.72762520852495,13.057400970501378,0.4395346862840107,Normal
6051,550.031540391778,12.584689989158036,17.627699549826783,UDP,43317,22,3,2183.319901699561,33.9668059812048,15.524500862278785,0.2295396301195164,Normal
7420,545.8359749028914,67.19549112945246,32.28617295317584,UDP,12933,80,3,2610.6065516589947,5.685249500624153,37.10838415903581,0.905615226147165,Attack
2184,401.423656516442,45.704259947399194,17.382155842779884,TCP,30236,443,5,1358.5682404549202,43.03736600415427,68.22868030930029,0.6016867381802531,Attack
5555,563.731592274153,33.00247256191909,35.85294604274235,UDP,15986,80,4,1497.363579552988,41.082460180316474,29.54823142164699,0.3471736218332727,Attack
4385,694.6998009081217,58.64449479560765,30.151478810570175,TCP,16877,53,1,2065.0702618884784,43.052486658677296,41.38290099772301,0.9961312390539405,Attack
7396,502.6644721451164,86.9533539819839,3.6530925136064574,UDP,51233,22,1,1575.3359442735052,60.0794605922039,41.50997291548955,0.13756620327569347,Attack
9666,324.68900736180115,48.36640257292502,45.5664140534339,UDP,35846,53,0,1860.7425140493401,31.991559283413725,57.22452402738352,0.8479515125836945,Attack
3558,417.5328162903188,64.26674460953478,38.26152498576212,ICMP,15399,80,2,1338.3111639643334,29.244510431081128,81.43352057320301,0.23062493578382504,Normal
8849,286.4684661378047,35.18745809795797,31.998969183446256,TCP,45385,1883,2,1482.3012996289654,49.80031515259522,88.6581826744472,0.23950685790296178,Normal
3047,654.8313354855277,24.698633518256703,5.055883032396704,ICMP,46988,1883,1,2666.2323657852676,58.30859083867159,58.36887714623052,0.4981621982405471,Normal
3747,591.6926355593714,63.709107039844874,9.359097409804182,UDP,3133,80,2,1779.8600004282073,56.05955839910309,50.40563838709125,0.661941969817519,Normal
